-183.553, 79.601, 0.685,  1.765
-183.542, 79.580, 0.693,  1.798
-183.530, 79.558, 0.698,  1.831
-183.519, 79.536, 0.709,  1.864
-183.507, 79.514, 0.715,  1.897
-183.495, 79.492, 0.727,  1.930
-183.482, 79.469, 0.733,  1.963
-183.470, 79.447, 0.744,  1.996
-183.456, 79.424, 0.752,  2.029
-183.443, 79.401, 0.760,  2.062
-183.430, 79.378, 0.768,  2.095
-183.416, 79.354, 0.779,  2.128
-183.401, 79.331, 0.787,  2.161
-183.387, 79.307, 0.796,  2.194
-183.372, 79.283, 0.804,  2.227
-183.356, 79.259, 0.813,  2.260
-183.341, 79.235, 0.821,  2.293
-183.325, 79.210, 0.830,  2.326
-183.309, 79.186, 0.838,  2.359
-183.292, 79.161, 0.847,  2.392
-183.275, 79.137, 0.856,  2.425
-183.258, 79.112, 0.864,  2.458
-183.240, 79.087, 0.873,  2.491
-183.222, 79.062, 0.881,  2.524
-183.203, 79.037, 0.889,  2.557
-183.184, 79.012, 0.897,  2.590
-183.165, 78.986, 0.906,  2.623
-183.146, 78.961, 0.914,  2.656
-183.126, 78.936, 0.922,  2.689
-183.105, 78.910, 0.930,  2.722
-183.084, 78.885, 0.938,  2.755
-183.063, 78.859, 0.945,  2.788
-183.041, 78.834, 0.953,  2.821
-183.019, 78.808, 0.960,  2.854
-182.997, 78.783, 0.968,  2.887
-182.974, 78.757, 0.976,  2.920
-182.951, 78.731, 0.983,  2.953
-182.927, 78.706, 0.991,  2.986
-182.903, 78.680, 0.998,  3.019
-182.879, 78.655, 1.005,  3.052
-182.854, 78.629, 1.012,  3.085
-182.829, 78.604, 1.019,  3.118
-182.803, 78.579, 1.026,  3.151
-182.777, 78.554, 1.033,  3.184
-182.750, 78.528, 1.039,  3.217
-182.723, 78.503, 1.046,  3.250
-182.696, 78.478, 1.053,  3.283
-182.668, 78.454, 1.059,  3.316
-182.640, 78.429, 1.066,  3.349
-182.611, 78.404, 1.072,  3.382
-182.582, 78.380, 1.079,  3.415
-182.553, 78.356, 1.085,  3.448
-182.523, 78.331, 1.093,  3.481
-182.492, 78.307, 1.099,  3.514
-182.461, 78.284, 1.107,  3.547
-182.430, 78.260, 1.114,  3.580
-182.398, 78.236, 1.121,  3.613
-182.366, 78.213, 1.126,  3.646
-182.334, 78.190, 1.135,  3.679
-182.301, 78.167, 1.142,  3.712
-182.267, 78.144, 1.149,  3.745
-182.233, 78.121, 1.157,  3.778
-182.199, 78.099, 1.165,  3.811
-182.164, 78.077, 1.172,  3.844
-182.129, 78.054, 1.178,  3.877
-182.094, 78.033, 1.187,  3.910
-182.058, 78.011, 1.195,  3.943
-182.022, 77.989, 1.202,  3.976
-181.985, 77.968, 1.210,  4.009
-181.948, 77.946, 1.218,  4.042
-181.911, 77.925, 1.227,  4.075
-181.873, 77.904, 1.236,  4.108
-181.836, 77.882, 1.249,  4.141
-181.798, 77.861, 1.260,  4.174
-181.760, 77.839, 1.272,  4.207
-181.721, 77.816, 1.286,  4.240
-181.683, 77.793, 1.300,  4.273
-181.645, 77.769, 1.320,  4.306
-181.608, 77.744, 1.337,  4.339
-181.572, 77.716, 1.356,  4.372
-181.537, 77.687, 1.366,  4.405
-181.505, 77.655, 1.365,  4.438
-181.474, 77.621, 1.359,  4.471
-181.445, 77.587, 1.349,  4.504
-181.417, 77.551, 1.336,  4.537
-181.392, 77.514, 1.318,  4.570
